year,ura_planning_region,residential_status,num_solar_pv_inst,inst_cap_kwac,total_inst_cap_percent
2018,North,Residential,33,271.7,0.2
2018,West,Non-Residential,514,63149.4,39.4
2018,West,Residential,51,425,0.3
2019,Central,Non-Residential,325,22324,8.2
2019,Central,Residential,393,4386.9,1.6
2019,East,Non-Residential,315,39383,14.5
2019,East,Residential,201,1712.5,0.6
2019,North-East,Non-Residential,578,34424.8,12.7
2019,North-East,Residential,552,2371.9,0.9
2019,North,Non-Residential,559,37919.2,14
2019,North,Residential,47,422.2,0.2
2019,West,Non-Residential,798,127553.9,47.1
2019,West,Residential,60,511.6,0.2
2020,Central,Non-Residential,349,27146.9,8.2
2020,Central,Residential,477,5499.4,1.7
2020,East,Non-Residential,335,51783.6,15.7
2020,East,Residential,232,2030.5,0.6
2020,North-East,Non-Residential,662,40693.1,12.3
2020,North-East,Residential,592,2758.6,0.8
2020,North,Non-Residential,696,51085.3,15.5
2020,North,Residential,56,515.1,0.2
2020,West,Non-Residential,970,147959.6,44.8
2020,West,Residential,74,697.6,0.2
2021,Central,Non-Residential,355,27620,8.1
2021,Central,Residential,490,5723.9,1.7
2021,East,Non-Residential,339,52859.3,15.5
2021,East,Residential,242,2126.2,0.6
2021,North-East,Non-Residential,674,41575.5,12.2
2021,North-East,Residential,616,2990.3,0.9
2021,North,Non-Residential,720,52915.5,15.5
2021,North,Residential,57,524.7,0.2
2021,West,Non-Residential,1015,154485.1,45.2
2021,West,Residential,77,724.8,0.2
